2^-1 	 0.5
2^-2 	 0.25
2^-3 	 0.125
2^-4 	 0.0625
2^-5 	 0.03125
2^-6 	 0.015625
2^-7 	 0.0078125
2^-8 	 0.00390625
2^-9 	 0.001953125
2^-10 	 0.0009765625
2^-11 	 0.00048828125
2^-12 	 0.000244140625
2^-13 	 0.0001220703125
2^-14 	 6.103515625e-05
2^-15 	 3.0517578125e-05
2^-16 	 1.52587890625e-05
2^-17 	 7.62939453125e-06
2^-18 	 3.814697265625e-06
2^-19 	 1.9073486328125e-06
2^-20 	 9.5367431640625e-07
2^-21 	 4.76837158203125e-07
2^-22 	 2.384185791015625e-07
2^-23 	 1.1920928955078125e-07
2^-24 	 5.960464477539063e-08
2^-25 	 2.9802322387695312e-08
2^-26 	 1.4901161193847656e-08
2^-27 	 7.450580596923828e-09
2^-28 	 3.725290298461914e-09
2^-29 	 1.862645149230957e-09
2^-30 	 9.313225746154785e-10
2^-31 	 4.656612873077393e-10
